Sales_Volume,Product_Cost,Revenue,Total_Costs,Profit
273.10,17.02,13654.94,9649.31,4005.63
437.21,17.75,21860.39,12760.28,9100.12
353.57,20.78,17678.72,12346.44,5332.28
320.81,17.65,16040.74,10663.10,5377.64
211.72,22.23,10586.03,9705.55,880.48
211.71,19.86,10585.60,9204.13,1381.47
168.17,20.17,8408.33,8392.12,16.21
396.53,19.44,19826.53,12709.85,7116.69
321.36,21.55,16068.20,11924.01,4144.19
347.18,21.57,17358.96,12487.38,4871.58
140.58,20.67,7029.01,7905.81,-876.80
450.94,21.13,22546.83,14528.10,8018.73
384.22,19.58,19211.09,12521.46,6689.63
230.33,21.08,11516.73,9856.47,1660.26
220.61,19.32,11030.34,9263.06,1767.28
221.13,20.00,11056.48,9423.58,1632.90
256.01,19.45,12800.54,9979.59,2820.95
305.01,19.09,15250.71,10821.37,4429.34
285.89,18.62,14294.57,10323.81,3970.76
252.64,20.94,12631.90,10289.07,2342.82
323.78,22.62,16189.24,12324.41,3864.84
205.64,22.34,10281.93,9594.42,687.51
252.88,17.49,12643.88,9422.04,3221.84
271.20,22.58,13559.93,11123.23,2436.70
291.01,19.36,14550.60,10635.06,3915.54
368.90,21.20,18445.25,12821.32,5623.92
226.39,18.19,11319.40,9117.45,2201.95
302.87,20.28,15143.37,11143.35,4000.02
319.43,20.63,15971.32,11588.95,4382.37
160.96,17.03,8047.96,7741.26,306.70
322.81,21.22,16140.48,11848.90,4291.58
216.80,22.69,10839.93,9919.57,920.37
172.14,19.65,8606.98,8382.67,224.32
436.05,22.72,21802.67,14907.28,6895.39
447.56,19.62,22378.25,13781.50,8596.75
376.19,21.70,18809.64,13163.07,5646.57
256.11,15.56,12805.30,8985.74,3819.56
188.40,24.84,9419.78,9679.28,-259.51
341.06,22.99,17053.09,12841.32,4211.77
287.65,19.43,14382.46,10589.24,3793.22
198.81,16.06,9940.41,8192.03,1748.38
299.03,20.58,14951.65,11152.92,3798.73
152.45,17.11,7622.54,7608.76,13.78
414.83,20.89,20741.37,13665.62,7075.75
243.88,20.82,12194.16,10078.41,2115.75
335.69,18.12,16784.43,11081.74,5702.70
257.91,22.24,12895.71,10736.51,2159.20
304.05,21.61,15202.74,11570.97,3631.76
309.57,21.95,15478.55,11795.59,3682.96
221.61,20.02,11080.37,9436.07,1644.30
450.67,17.17,22533.61,12737.57,9796.04
365.88,21.96,18293.78,13033.07,5260.71
430.43,19.46,21521.46,13375.83,8145.63
408.27,17.22,20413.66,12030.64,8383.01
320.65,22.70,16032.28,12279.96,3752.32
420.94,24.20,21047.13,15186.31,5860.82
184.14,19.92,9206.96,8667.59,539.37
225.21,24.32,11260.72,10476.82,783.90
160.15,20.18,8007.57,8232.28,-224.71
261.33,19.24,13066.35,10027.69,3038.66
276.34,18.74,13816.77,10178.27,3638.50
247.34,23.27,12366.80,10756.54,1610.26
382.95,18.44,19147.44,12061.46,7085.97
268.94,21.47,13446.93,10774.26,2672.67
249.92,18.88,12495.79,9718.83,2776.96
308.73,19.08,15436.49,10890.37,4546.11
206.18,22.06,10308.94,9548.41,760.53
374.21,19.24,18710.28,12199.69,6510.59
177.23,19.19,8861.36,8401.06,460.30
467.61,22.27,23380.55,15411.64,7968.91
365.02,23.19,18250.85,13466.49,4784.35
226.08,21.29,11304.22,9813.19,1491.02
121.02,18.69,6050.92,7261.89,-1210.97
378.50,18.98,18924.83,12183.40,6741.42
346.86,20.16,17343.07,11992.67,5350.40
352.76,20.64,17638.03,12281.64,5356.40
364.73,18.02,18236.43,11573.96,6662.46
176.96,21.45,8848.24,8795.20,53.04
269.34,20.17,13467.18,10432.94,3034.24
196.28,16.57,9813.92,8252.05,1561.86
395.35,18.14,19767.48,12172.49,7594.99
326.40,18.99,16320.12,11198.95,5121.17
262.70,19.85,13135.08,10215.75,2919.33
171.31,23.78,8565.34,9073.43,-508.09
257.73,20.48,12886.47,10277.36,2609.12
261.29,18.32,13064.53,9786.44,3278.09
352.92,20.44,17646.17,12214.20,5431.97
329.72,19.30,16485.98,11362.21,5123.77
405.01,20.65,20250.53,13363.27,6887.26
294.36,21.16,14718.18,11229.07,3489.11
197.81,22.42,9890.69,9434.68,456.01
348.54,19.95,17426.95,11953.85,5473.10
361.66,23.28,18083.14,13418.76,4664.38
312.66,21.82,15632.79,11820.91,3811.88
364.64,18.59,18231.95,11776.86,6455.09
298.76,24.42,14937.76,12295.52,2642.25
304.60,20.65,15229.97,11291.19,3938.78
284.94,18.33,14247.06,10222.90,4024.16
145.09,23.31,7254.73,8381.55,-1126.82
192.90,24.16,9645.24,9659.72,-14.48
150.14,19.93,7507.16,7992.95,-485.79
329.45,18.99,16472.52,11257.15,5215.37
258.58,19.66,12929.14,10082.51,2846.63
301.72,21.43,15086.08,11465.73,3620.35
414.01,22.56,20700.38,14338.24,6362.14
241.22,21.14,12061.05,10099.65,1961.40
281.19,20.20,14059.61,10681.05,3378.56
360.16,23.00,18007.88,13282.19,4725.69
235.29,19.37,11764.59,9558.62,2205.97
178.48,22.06,8923.77,8937.50,-13.72
252.25,19.42,12612.51,9899.68,2712.83
213.57,20.86,10678.40,9455.47,1222.94
425.01,19.77,21250.27,13403.58,7846.69
376.10,19.89,18805.17,12480.06,6325.11
328.75,19.25,16437.33,11326.80,5110.53
398.59,22.69,19929.71,14043.98,5885.72
374.68,18.53,18733.77,11944.29,6789.48
222.17,18.52,11108.52,9114.49,1994.03
407.29,24.24,20364.46,14873.50,5490.96
308.03,21.96,15401.48,11763.00,3638.48
375.88,15.23,18794.20,10724.63,8069.57
408.83,18.87,20441.30,12714.34,7726.97
259.50,16.38,12975.00,9249.58,3725.43
193.83,18.10,9691.52,8508.06,1183.46
235.04,15.00,11751.82,8525.55,3226.27
284.85,19.73,14242.38,10618.91,3623.47
379.34,17.72,18967.00,11720.43,7246.57
394.45,20.12,19722.32,12936.19,6786.13
123.58,16.75,6179.16,7069.99,-890.83
302.16,20.17,15108.06,11093.33,4014.73
282.74,19.17,14136.86,10420.12,3716.74
233.30,23.00,11664.95,10366.79,1298.16
197.92,22.82,9896.23,9517.18,379.05
264.34,21.57,13217.24,10702.10,2515.14
432.42,19.35,21620.94,13365.91,8255.03
260.80,23.97,13039.94,11251.54,1788.39
303.79,16.89,15189.71,10132.28,5057.43
345.86,17.19,17293.11,10946.37,6346.74
270.56,19.83,13527.95,10365.84,3162.11
452.49,24.51,22624.38,16089.60,6534.78
445.19,19.60,22259.46,13723.63,8535.84
241.92,19.63,12096.23,9749.83,2346.40
299.45,17.12,14972.45,10125.42,4847.03
255.15,21.89,12757.30,10585.62,2171.68
250.95,21.91,12547.72,10497.50,2050.23
154.32,21.58,7716.14,8330.00,-613.86
323.27,18.74,16163.31,11058.51,5104.80
300.54,18.59,15026.83,10585.95,4440.88
164.17,17.41,8208.70,7858.89,349.81
249.30,20.17,12465.21,10027.90,2437.30
414.33,17.84,20716.68,12391.37,8325.31
238.44,17.65,11921.88,9207.27,2714.61
207.66,19.15,10383.21,8977.31,1405.90
297.88,19.02,14893.97,10666.17,4227.80
466.12,18.92,23305.92,13820.84,9485.07
239.16,20.93,11957.81,10006.23,1951.58
338.05,20.16,16902.29,11814.36,5087.93
361.90,19.42,18095.21,12029.52,6065.70
237.88,20.37,11894.02,9844.68,2049.34
352.55,18.02,17627.30,11351.80,6275.50
271.53,20.21,13576.52,10487.78,3088.74
328.49,20.30,16424.52,11668.75,4755.77
328.78,16.99,16438.81,10587.19,5851.61
307.29,21.99,15364.39,11757.68,3606.70
184.99,18.24,9249.47,8373.67,875.79
385.21,20.18,19260.71,12773.86,6486.85
260.19,22.33,13009.74,10809.85,2199.90
222.15,21.85,11107.68,9854.35,1253.32
157.11,20.07,7855.70,8153.07,-297.37
319.09,19.28,15954.48,11150.45,4804.03
339.39,21.90,16969.61,12431.00,4538.61
136.43,21.35,6821.42,7912.66,-1091.24
302.43,18.76,15121.67,10674.64,4447.03
234.61,18.41,11730.46,9319.21,2411.26
331.52,15.86,16575.90,10256.31,6319.59
218.11,20.31,10905.36,9429.34,1476.03
342.76,19.83,17137.91,11798.47,5339.44
275.89,22.27,13794.72,11144.82,2649.89
428.86,20.72,21442.75,13885.07,7557.69
204.89,22.67,10244.44,9644.51,599.93
265.18,18.61,13259.13,9933.80,3325.34
195.28,22.28,9763.90,9350.07,413.83
422.38,18.94,21119.11,13000.84,8118.28
400.94,21.56,20047.01,13642.34,6404.67
243.65,17.08,12182.50,9162.15,3020.35
335.07,20.47,16753.60,11859.01,4894.58
379.08,16.03,18953.88,11076.85,7877.03
